query_filename,query_name,query_md5,match_name,match_md5,intersect_bp
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,33281
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_002030235 s__Salmonella enterica",d33c4194111fb668c536a0bcf4199ccf,8889
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,27932
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_040114625 s__Escherichia albertii",7b2652224a0577da58126c73c31aaf46,8417
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_002965985 s__Escherichia ruysiae",6d318eb7ec12893ca91287b4aa22c244,6220
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_041360215 s__Escherichia fergusonii",ebde669561544b5212bf7efe92b6743d,10093
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_036233805 s__Klebsiella pneumoniae",7a328ba47cf40f94661c872e17e51ae2,12079
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_031453865 s__Klebsiella variicola",da4840109b029029d04b0597233208d6,3071
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_036800725 s__Enterobacter hormaechei_C",849d1d6218b852137ec7a7b457a7e44a,5276
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_026719375 s__Citrobacter werkmanii",3a34fb4cc0cb81622c2c71468e2e8e9c,2024
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_032667105 s__Citrobacter portucalensis",b68f3ffe153da2dba71caaf11c8cd0eb,3086
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_963637855 s__Escherichia marmotae",68bfa0e02cdd944a712dbee980d4419f,7168
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_036851855 s__Klebsiella quasipneumoniae",20af2fb08b018671e2b5d468ec9f62b1,3544
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_903932005 s__Escherichia sp005843885",9b5dc382e99e0989e07c1b25ec3eeb4d,4820
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_037170285 s__Pseudomonas aeruginosa",87e876c12de05cd9c620baab82acaa46,5172
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_039679115 s__Acinetobacter baumannii",d6109a83f5a07d21f2ea8fc584a012c5,2042
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_964207475 s__Klebsiella michiganensis",46f81fff2d91f155c35a016201e5ed59,2525
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_040425645 s__Klebsiella ornithinolytica",6e1612a390e70d3e8b24696ed28db77b,1478
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_036721275 s__Enterobacter asburiae_B",72d9594f8c69d00db1e6df53a3cb3c25,1626
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_040590815 s__Morganella morganii",6a8614d4e01cd9c981f3df053e4bfaa3,1304
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_963885735 s__Proteus mirabilis",7532bfd36c5bd5673ea726ea9f69735a,1815
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_041002895 s__Klebsiella planticola",4580c4e6a2bc9190da6408b3aa27a4ee,1342
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_964241835 s__Klebsiella oxytoca",486e8b7a5d51a809f40aef3e9eceed72,2397
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_035794995 s__Escherichia whittamii",c182330ce30e73578cad63838a4400cd,2195
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_036678305 s__Citrobacter freundii",760d8579c8ee140cf784547429727c61,4195
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_022423985 s__Escherichia sp002965065",e0045b2ece20a156ef69ed3a5c10490d,2031
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_037070715 s__Cronobacter sakazakii",37098c503e32be1ed57d7231a1baa0e0,1459
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_041694695 s__Enterobacter cloacae",e623ff61b36b454b4da38d4d66f99045,2723
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_036634675 s__Citrobacter braakii",f7cb82d9cad31d796528dd08020f0cd6,2755
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_032580015 s__Citrobacter_A amalonaticus",036a53fd9097fe0126d6af3845e73434,1874
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_036779595 s__Enterobacter intestinihominis",a89ac7b1ba25002aa43733459b5aba62,3428
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_040907855 s__Aeromonas caviae",2fd22be2e21ce2587ae89eeab76f674b,363
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_036791895 s__Leclercia adecarboxylata_C",9c6e39bf0e0cf2b8ab3691331ab49984,475
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_039593755 s__Serratia nevei",cbc22a4ee9ef277b8ac0d23f438cdfd3,1281
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_019856235 s__Enterobacter kobei",7f4a568e620cdfc1318413c59b6fa908,2278
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_964209525 s__Kluyvera ascorbata",4f9ee8d3ae1f5d709d9eee383a9d6c3b,615
