query_filename,query_name,query_md5,match_name,match_md5,intersect_bp
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,1720
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,973
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCA_008727395 s__Campylobacter_D coli",1eb767174c99a1a07c12ca6c8df43618,496
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,163
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCA_039519115 s__Campylobacter_D coli_A",3b113734a814d897726815c2ed760c42,73
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCA_963557615 s__Campylobacter_D upsaliensis",a12998a969e7d8779e70f788b001512c,71
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCF_963559825 s__Campylobacter_D helveticus",6d507db48e919d8b6c5774ddddf7e5db,38
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCF_036233805 s__Klebsiella pneumoniae",7a328ba47cf40f94661c872e17e51ae2,100
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCF_024621745 s__Campylobacter_D concheus",708f3ec7cf6bc072b62ac57f23fca34b,34
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCF_020136235 s__Campylobacter_D sp016598935",0c457e652dfb7381e6fb0a5b53662ad3,23
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCA_039518365 s__Campylobacter_D coli_B",a99af41b29b809b600e8adc5aae1ce62,72
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCA_037302995 s__Campylobacter infans",1850c4caa3856d5fdbdc5aad0949d48a,6
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCF_033791025 s__Campylobacter_D hepaticus",832e3cd72d2b242368f26a0e77eacb69,69
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCF_024723635 s__Campylobacter_D lari_C",12f6a0e9418220f9a47be5143d927004,23
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCF_013201605 s__Campylobacter_D ornithocola",fab607eb4d08d33b053aec0bdc3e2704,16
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,65
,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,"GCF_032594815 s__Campylobacter fetus",58ce589cf2be978fbdf3acd4f8b911f1,47
