query_filename,query_name,query_md5,match_name,match_md5,intersect_bp
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,32786
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,1090
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_008727395 s__Campylobacter_D coli",1eb767174c99a1a07c12ca6c8df43618,6336
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_036233805 s__Klebsiella pneumoniae",7a328ba47cf40f94661c872e17e51ae2,1012
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_963557615 s__Campylobacter_D upsaliensis",a12998a969e7d8779e70f788b001512c,402
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_039518365 s__Campylobacter_D coli_B",a99af41b29b809b600e8adc5aae1ce62,1330
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_000161855 s__Enterococcus_B faecium",26ff851eaed075477847b4997bab349a,430
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_964240295 s__Enterococcus_B lactis",8e28f040b31410630bd5f707cbc24c2f,266
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,973
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_041798605 s__Achromobacter insuavis",26a73df5bc2520baac8663780323bbc5,396
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_024723635 s__Campylobacter_D lari_C",12f6a0e9418220f9a47be5143d927004,362
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_002030235 s__Salmonella enterica",d33c4194111fb668c536a0bcf4199ccf,302
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_039519115 s__Campylobacter_D coli_A",3b113734a814d897726815c2ed760c42,1164
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_035726155 s__Enterococcus faecalis",9e051ef544e65168ddd7184c0826e0a8,332
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_037956675 s__Enterococcus_B hirae",a74d315cfabcf7fffb48dd824acecdfe,129
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_031453865 s__Klebsiella variicola",da4840109b029029d04b0597233208d6,131
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_040459935 s__Bacillus_A paranthracis",2992e591fb728c197aae20c11fafcfa4,130
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_001814805 s__Staphylococcus epidermidis",6aae70e92e5bf7fe16f397e3d4bfefbc,180
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,470
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_039679115 s__Acinetobacter baumannii",d6109a83f5a07d21f2ea8fc584a012c5,369
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_963423825 s__Campylobacter_D lari",5ac622c1487191f6855c2b3ce8bcc475,218
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_036678425 s__Achromobacter insuavis_A",5a721a14f505eab4336395e3f66ce2e2,178
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_000146975 s__Streptococcus pneumoniae",bcc6471fefb24460f7e569f745902e81,169
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_024723655 s__Campylobacter_D lari_D",19e00cb9f429d70ba4b8eefd42aee96a,275
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_020136235 s__Campylobacter_D sp016598935",0c457e652dfb7381e6fb0a5b53662ad3,262
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_036033785 s__Staphylococcus aureus",9eb292afdfcdc13d9cf4dc19479bf782,418
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_963522745 s__Enterobacter roggenkampii",ee20043a412749c1951565b8e1c46722,99
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_032578515 s__Clostridioides difficile",9447fad6534d3f51b0982af40d639ace,249
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_029392935 s__Sarcina perfringens",266964ded1cf16525e85e431d188dfa5,142
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_963591055 s__Bifidobacterium longum",f5c2fb70708f30e21faae6274a631381,98
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_036527275 s__Stenotrophomonas maltophilia",f5ad9322a7eacbc0937b2706def370d7,124
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_040678755 s__Micrococcus luteus",da21cd6fba5d68c1c8105238bda27d10,92
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_963599485 s__Bacteroides fragilis",8c342ffc6a80500b2622ce0434b10f8a,102
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_963630855 s__Blautia_A wexlerae",f7443a850013454aca1909880427965d,84
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_040913185 s__Bacteroides ovatus",9d5eef5c7fa70297e026b0d3f6bcb4d4,102
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_041360215 s__Escherichia fergusonii",ebde669561544b5212bf7efe92b6743d,138
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_963631375 s__Bacteroides uniformis",925fa545ba50183b83a10e5b2fcff2b3,106
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_963650895 s__Phocaeicola vulgatus",b8836c4bbd07e73aacd14d27e54c0059,114
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_033791025 s__Campylobacter_D hepaticus",832e3cd72d2b242368f26a0e77eacb69,165
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_036832915 s__Acinetobacter nosocomialis",becfd08cadd4e3dac946daa62cb6b4a4,123
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_024621745 s__Campylobacter_D concheus",708f3ec7cf6bc072b62ac57f23fca34b,294
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_036678305 s__Citrobacter freundii",760d8579c8ee140cf784547429727c61,101
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_041791645 s__Listeria monocytogenes",cf5b377a87d03362ef3098c65c180591,173
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_041771805 s__Listeria monocytogenes_B",876ed9fbbd5e75dbaf50bf4e8ca44027,173
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_015594855 s__Campylobacter_D volucris",4151e03055db623538682a850a6213ca,139
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_963559825 s__Campylobacter_D helveticus",6d507db48e919d8b6c5774ddddf7e5db,147
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_039134555 s__Bacillus_A cereus",d5de324bbea074e148362d753da5dd8e,153
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,163
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_020135895 s__Campylobacter_D taeniopygiae",d476b67ad18845573bb4b1cb467ac76a,142
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_000665865 s__Mycobacterium tuberculosis",f1fb3096586cfa72ec70443043ac2083,164
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,193
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_037170285 s__Pseudomonas aeruginosa",87e876c12de05cd9c620baab82acaa46,296
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_024723515 s__Campylobacter_D sp025772985",f9022ff8e2dee520bf3900b237d948b4,222
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_963624525 s__Mediterraneibacter torques",ee5e625eaab4c6f3270f38d25a0c37b7,55
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_002965985 s__Escherichia ruysiae",6d318eb7ec12893ca91287b4aa22c244,94
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_037148415 s__Achromobacter ruhlandii",e1a265c2e43aa59bdf1b7b0fbb256bf0,151
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_039606095 s__Bacillus velezensis",c578aad3fd0eb2d72ce1774283b26c74,72
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_037479235 s__Acinetobacter johnsonii",8bd7a7f8d3fef56e17e1687f12d097cb,94
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_014982875 s__Megamonas funiformis",63e2f7d51a03eea40aa91824ace52ba2,58
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_041809465 s__Comamonas acidovorans",32ae7578fa57bbe1c1718343f2eb5095,91
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_040446505 s__Mammaliicoccus sciuri",9c5f263be0bf55007a364faeafcc9698,78
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_037070715 s__Cronobacter sakazakii",37098c503e32be1ed57d7231a1baa0e0,93
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_964239815 s__Phocaeicola dorei",84d096fb1c7c4c64147d6d140964260a,101
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_036779595 s__Enterobacter intestinihominis",a89ac7b1ba25002aa43733459b5aba62,91
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_963645605 s__Ruminococcus_B gnavus",0bc5d4cf5e92fcbd28ac175fcd947444,83
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_019856235 s__Enterobacter kobei",7f4a568e620cdfc1318413c59b6fa908,77
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_032594815 s__Campylobacter fetus",58ce589cf2be978fbdf3acd4f8b911f1,98
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_963647685 s__Bacteroides stercoris",fba1c9247089826b0fd03273388a9180,65
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_000021465 s__Helicobacter pylori",f784f61dec42ef0fd8baf0986b2b4ffa,83
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_039912665 s__Citrobacter youngae",13905bd8581ab264d53a8427383246bb,82
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_037093045 s__Streptococcus suis_W",904675307d37d7d355b235dfd9325b14,68
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_964240065 s__Bacteroides eggerthii",f0e0239e79799ee979c4717a7ba6b29d,55
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_040924505 s__Parabacteroides distasonis",047d983ed9e3c5efa310c043c3fb8c04,81
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_963635085 s__Faecalibacterium longum",849b8208440a5a1cbcfa2e2cf190b145,75
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_031932705 s__Staphylococcus argenteus",0de96682cb079916cc9673864825d308,77
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_009192435 s__Streptococcus suis",935f7d9c77a503cf6e2f6695d5fe42ab,84
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCA_032107465 s__Acinetobacter radioresistens",e3f8a4e3e4a1cf316f9556f12bee09ff,71
,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,"GCF_038562025 s__Acinetobacter pittii",58d15aca98a94b94188fc166f6f51208,123
