query_filename,query_name,query_md5,match_name,match_md5,intersect_bp
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,3487
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_024723635 s__Campylobacter_D lari_C",12f6a0e9418220f9a47be5143d927004,1982
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_024723655 s__Campylobacter_D lari_D",19e00cb9f429d70ba4b8eefd42aee96a,1163
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_024723515 s__Campylobacter_D sp025772985",f9022ff8e2dee520bf3900b237d948b4,1442
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_024621745 s__Campylobacter_D concheus",708f3ec7cf6bc072b62ac57f23fca34b,935
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_013372105 s__Campylobacter_D armoricus",e10bb4109b18e2f14d8caa946021b885,310
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_963423825 s__Campylobacter_D lari",5ac622c1487191f6855c2b3ce8bcc475,767
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCA_008727395 s__Campylobacter_D coli",1eb767174c99a1a07c12ca6c8df43618,155
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_024705225 s__Campylobacter_D lari_E",879010de6eb4bb7b6b9a2b57f85b3400,815
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,193
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_020135975 s__Campylobacter_D sp020135845",d58d322c7c3d1443fd40969de0d9d05f,23
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_014931215 s__Campylobacter_D sp003627915",3158e967b170b3a933b7ce011539875f,157
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_008011665 s__Campylobacter_D volucris_A",c8b634f9d692531d945224f1e3ea971e,67
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_020136235 s__Campylobacter_D sp016598935",0c457e652dfb7381e6fb0a5b53662ad3,23
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCA_039518365 s__Campylobacter_D coli_B",a99af41b29b809b600e8adc5aae1ce62,64
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,19
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_020024835 s__Campylobacter_D sp020024835",5d59353a606e528f034babfca490cf80,24
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_005251755 s__Campylobacter_D subantarcticus",831a4803d5b417db1d8443cb01126496,339
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_013201605 s__Campylobacter_D ornithocola",fab607eb4d08d33b053aec0bdc3e2704,317
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_036348115 s__Campylobacter devanensis",9c775f4d04d2bdaaf03c5f11d65a5b3f,7
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_014217995 s__Campylobacter_D vulpis",13343d90646d7047efab52f5f556f0ee,12
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_003049085 s__Campylobacter_A concisus_H",8f13021697d5cd0a2b847ee9d7038991,4
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCA_000182345 s__Vibrio parahaemolyticus",3e71c5c973c8d999050b9b4c6755947e,11
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,15
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_040008265 s__Campylobacter_D sp004378855",019f84f3ca3e8be3da5ab8e457d0d91e,34
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,12
,"GCF_024723675 s__Campylobacter_D jejuni_C",ff45b4db21157e52f7f9da8d48b25da0,"GCF_020138305 s__Campylobacter_E canadensis",ba6922e9fc76269bfde39fcae6a3fa13,9
