query_filename,query_name,query_md5,match_name,match_md5,intersect_bp
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,4755
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,1404
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,2353
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_040114625 s__Escherichia albertii",7b2652224a0577da58126c73c31aaf46,965
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_903932005 s__Escherichia sp005843885",9b5dc382e99e0989e07c1b25ec3eeb4d,1317
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_036233805 s__Klebsiella pneumoniae",7a328ba47cf40f94661c872e17e51ae2,1253
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_963637855 s__Escherichia marmotae",68bfa0e02cdd944a712dbee980d4419f,869
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_037170285 s__Pseudomonas aeruginosa",87e876c12de05cd9c620baab82acaa46,745
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_036800725 s__Enterobacter hormaechei_C",849d1d6218b852137ec7a7b457a7e44a,569
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_035794995 s__Escherichia whittamii",c182330ce30e73578cad63838a4400cd,874
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_041360215 s__Escherichia fergusonii",ebde669561544b5212bf7efe92b6743d,1188
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_002965985 s__Escherichia ruysiae",6d318eb7ec12893ca91287b4aa22c244,1108
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_036634675 s__Citrobacter braakii",f7cb82d9cad31d796528dd08020f0cd6,330
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_041694695 s__Enterobacter cloacae",e623ff61b36b454b4da38d4d66f99045,260
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_037070715 s__Cronobacter sakazakii",37098c503e32be1ed57d7231a1baa0e0,202
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_036678305 s__Citrobacter freundii",760d8579c8ee140cf784547429727c61,460
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_039679115 s__Acinetobacter baumannii",d6109a83f5a07d21f2ea8fc584a012c5,339
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_019856235 s__Enterobacter kobei",7f4a568e620cdfc1318413c59b6fa908,241
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_964207475 s__Klebsiella michiganensis",46f81fff2d91f155c35a016201e5ed59,249
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_022423985 s__Escherichia sp002965065",e0045b2ece20a156ef69ed3a5c10490d,591
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_004323655 s__Escherichia sp004211955",01fe181066fa228dd808eab00f0e3d2e,792
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_036792575 s__Enterobacter cloacae_M",4e23fae5019bec205f8056211e78327e,193
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_002030235 s__Salmonella enterica",d33c4194111fb668c536a0bcf4199ccf,739
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_036033785 s__Staphylococcus aureus",9eb292afdfcdc13d9cf4dc19479bf782,245
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_036851855 s__Klebsiella quasipneumoniae",20af2fb08b018671e2b5d468ec9f62b1,289
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_964241835 s__Klebsiella oxytoca",486e8b7a5d51a809f40aef3e9eceed72,254
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_032601985 s__Klebsiella aerogenes",56a077fea58b814dd4ad2c1bb2332f8c,246
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_963522745 s__Enterobacter roggenkampii",ee20043a412749c1951565b8e1c46722,259
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_041387205 s__Enterobacter chengduensis",bb4892c7351cd0c9b7e8a0e87b93697d,161
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_036841385 s__Leclercia adecarboxylata",390767e6ff2122d47439e6cafb97c569,173
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_963888745 s__Aeromonas hydrophila",bf1ce5ebb8e373ed85768f644b6db0cc,145
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_031453865 s__Klebsiella variicola",da4840109b029029d04b0597233208d6,315
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_036779595 s__Enterobacter intestinihominis",a89ac7b1ba25002aa43733459b5aba62,416
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_041434965 s__Citrobacter pasteurii",be93e121513c752635e82e337e3723e6,91
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_032580015 s__Citrobacter_A amalonaticus",036a53fd9097fe0126d6af3845e73434,202
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_032576635 s__Phytobacter diazotrophicus",926263fa83cfeb8411ac5e919acc84ed,113
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_040326695 s__Citrobacter_B koseri",7c01e9f46db7ce15476412d24c4c6143,239
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_033340235 s__Vibrio alginolyticus",90af9dd50c2c2e80fac091be08a37ba1,198
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_039593755 s__Serratia nevei",cbc22a4ee9ef277b8ac0d23f438cdfd3,147
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_031455495 s__Klebsiella grimontii",d3ca9c39e91e41e7c2cb5cb13e27f267,180
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_031852185 s__Enterobacter hormaechei",e85cc021dfc212b290df9104c7621f98,162
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_032667105 s__Citrobacter portucalensis",b68f3ffe153da2dba71caaf11c8cd0eb,302
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_039912665 s__Citrobacter youngae",13905bd8581ab264d53a8427383246bb,197
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_040425645 s__Klebsiella ornithinolytica",6e1612a390e70d3e8b24696ed28db77b,192
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_032113035 s__Enterobacter mori",d1169744ed670e74858d8eabcda33f14,146
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_040285115 s__Pseudocitrobacter faecalis",484680b15a91d9f52fb679acbad7132a,102
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_026719375 s__Citrobacter werkmanii",3a34fb4cc0cb81622c2c71468e2e8e9c,230
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_036487345 s__Enterobacter asburiae_D",d35f646315e87b3e69843b87e62a56b2,86
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_041206505 s__Klebsiella africana",22483ec08ac74eb2ca93a7d0a124a0df,93
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_963885735 s__Proteus mirabilis",7532bfd36c5bd5673ea726ea9f69735a,181
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_041320245 s__Citrobacter meridianamericanus",e2ef1af22ebca9aa4249cdce7e2cb3ec,107
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_041448665 s__Citrobacter_A telavivensis",2f1f94864530816eb15360b5a9be9f34,95
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_000182345 s__Vibrio parahaemolyticus",3e71c5c973c8d999050b9b4c6755947e,97
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_964209525 s__Kluyvera ascorbata",4f9ee8d3ae1f5d709d9eee383a9d6c3b,98
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_040590815 s__Morganella morganii",6a8614d4e01cd9c981f3df053e4bfaa3,103
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_035818395 s__Citrobacter_A farmeri",d333c8e84adfe79dbb4c4164e05a1708,140
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_037172685 s__Klebsiella quasivariicola",22e303b8019a8b64ffc889b461eb3e9e,108
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_014896175 s__Enterobacter bugandensis",eba0c164de065adcc597a9a7ae18d1a1,138
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_002106555 s__Salmonella arizonae",ae1d26d0c5881e03586bf0d2496ec605,112
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_000161855 s__Enterococcus_B faecium",26ff851eaed075477847b4997bab349a,128
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_032553475 s__Enterobacter sichuanensis",6f9309b392ef121e3f514a50c2a041b7,127
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_900635495 s__Atlantibacter hermannii",b121e43954253df2c3a3dd36a68417fd,135
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_963591055 s__Bifidobacterium longum",f5c2fb70708f30e21faae6274a631381,72
