query_filename,query_name,query_md5,match_name,match_md5,intersect_bp
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,33281
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,27932
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_041360215 s__Escherichia fergusonii",ebde669561544b5212bf7efe92b6743d,10093
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_963637855 s__Escherichia marmotae",68bfa0e02cdd944a712dbee980d4419f,7168
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_036233805 s__Klebsiella pneumoniae",7a328ba47cf40f94661c872e17e51ae2,12079
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_037170285 s__Pseudomonas aeruginosa",87e876c12de05cd9c620baab82acaa46,5172
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_002030235 s__Salmonella enterica",d33c4194111fb668c536a0bcf4199ccf,8889
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_002965985 s__Escherichia ruysiae",6d318eb7ec12893ca91287b4aa22c244,6220
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_031453865 s__Klebsiella variicola",da4840109b029029d04b0597233208d6,3071
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_036841385 s__Leclercia adecarboxylata",390767e6ff2122d47439e6cafb97c569,1022
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_040114625 s__Escherichia albertii",7b2652224a0577da58126c73c31aaf46,8417
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_019856235 s__Enterobacter kobei",7f4a568e620cdfc1318413c59b6fa908,2278
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_903932005 s__Escherichia sp005843885",9b5dc382e99e0989e07c1b25ec3eeb4d,4820
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_040326695 s__Citrobacter_B koseri",7c01e9f46db7ce15476412d24c4c6143,2330
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_036851855 s__Klebsiella quasipneumoniae",20af2fb08b018671e2b5d468ec9f62b1,3544
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_036634675 s__Citrobacter braakii",f7cb82d9cad31d796528dd08020f0cd6,2755
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_039679115 s__Acinetobacter baumannii",d6109a83f5a07d21f2ea8fc584a012c5,2042
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_964241835 s__Klebsiella oxytoca",486e8b7a5d51a809f40aef3e9eceed72,2397
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_032601985 s__Klebsiella aerogenes",56a077fea58b814dd4ad2c1bb2332f8c,2764
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_037172685 s__Klebsiella quasivariicola",22e303b8019a8b64ffc889b461eb3e9e,943
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_900635495 s__Atlantibacter hermannii",b121e43954253df2c3a3dd36a68417fd,729
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_036779595 s__Enterobacter intestinihominis",a89ac7b1ba25002aa43733459b5aba62,3428
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_036800725 s__Enterobacter hormaechei_C",849d1d6218b852137ec7a7b457a7e44a,5276
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_037053385 s__Enterobacter cloacae_I",1b33e0c9020c490ef9e860684959f341,888
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_036721275 s__Enterobacter asburiae_B",72d9594f8c69d00db1e6df53a3cb3c25,1626
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCF_035794995 s__Escherichia whittamii",c182330ce30e73578cad63838a4400cd,2195
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_032667105 s__Citrobacter portucalensis",b68f3ffe153da2dba71caaf11c8cd0eb,3086
,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,"GCA_041002895 s__Klebsiella planticola",4580c4e6a2bc9190da6408b3aa27a4ee,1342
