query_filename,query_name,query_md5,match_name,match_md5,intersect_bp
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,551478
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCA_002030235 s__Salmonella enterica",d33c4194111fb668c536a0bcf4199ccf,34733
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCF_036233805 s__Klebsiella pneumoniae",7a328ba47cf40f94661c872e17e51ae2,62772
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCF_036634675 s__Citrobacter braakii",f7cb82d9cad31d796528dd08020f0cd6,17808
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCA_036678305 s__Citrobacter freundii",760d8579c8ee140cf784547429727c61,28709
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,27932
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCA_036800725 s__Enterobacter hormaechei_C",849d1d6218b852137ec7a7b457a7e44a,33348
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCF_964241835 s__Klebsiella oxytoca",486e8b7a5d51a809f40aef3e9eceed72,14736
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCF_032601985 s__Klebsiella aerogenes",56a077fea58b814dd4ad2c1bb2332f8c,16381
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCA_036851855 s__Klebsiella quasipneumoniae",20af2fb08b018671e2b5d468ec9f62b1,26516
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCA_019856235 s__Enterobacter kobei",7f4a568e620cdfc1318413c59b6fa908,17228
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCF_037170285 s__Pseudomonas aeruginosa",87e876c12de05cd9c620baab82acaa46,16956
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCA_032667105 s__Citrobacter portucalensis",b68f3ffe153da2dba71caaf11c8cd0eb,20569
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCF_031453865 s__Klebsiella variicola",da4840109b029029d04b0597233208d6,24644
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCF_026719375 s__Citrobacter werkmanii",3a34fb4cc0cb81622c2c71468e2e8e9c,10177
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCA_002965985 s__Escherichia ruysiae",6d318eb7ec12893ca91287b4aa22c244,11462
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCF_031455495 s__Klebsiella grimontii",d3ca9c39e91e41e7c2cb5cb13e27f267,14431
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCF_902729455 s__Pluralibacter gergoviae",add82ab0bc2c4e437221d6c7b3b6e157,3899
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCA_036841385 s__Leclercia adecarboxylata",390767e6ff2122d47439e6cafb97c569,7299
,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,"GCF_031453695 s__Enterobacter ludwigii",df858b85e2b678db5f6354c2611a88e4,10135
