query_filename,query_name,query_md5,match_name,match_md5,intersect_bp
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,4755
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_903932005 s__Escherichia sp005843885",9b5dc382e99e0989e07c1b25ec3eeb4d,1317
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,2353
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_041360215 s__Escherichia fergusonii",ebde669561544b5212bf7efe92b6743d,1188
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_004323655 s__Escherichia sp004211955",01fe181066fa228dd808eab00f0e3d2e,792
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_040713065 s__Escherichia coli_F",948b555360a187015909358408f32333,1404
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_036233805 s__Klebsiella pneumoniae",7a328ba47cf40f94661c872e17e51ae2,1253
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_035794995 s__Escherichia whittamii",c182330ce30e73578cad63838a4400cd,874
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_022423985 s__Escherichia sp002965065",e0045b2ece20a156ef69ed3a5c10490d,591
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_036851855 s__Klebsiella quasipneumoniae",20af2fb08b018671e2b5d468ec9f62b1,289
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_036779595 s__Enterobacter intestinihominis",a89ac7b1ba25002aa43733459b5aba62,416
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_040114625 s__Escherichia albertii",7b2652224a0577da58126c73c31aaf46,965
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_037170285 s__Pseudomonas aeruginosa",87e876c12de05cd9c620baab82acaa46,745
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_036800725 s__Enterobacter hormaechei_C",849d1d6218b852137ec7a7b457a7e44a,569
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_002965985 s__Escherichia ruysiae",6d318eb7ec12893ca91287b4aa22c244,1108
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_002030235 s__Salmonella enterica",d33c4194111fb668c536a0bcf4199ccf,739
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_963637855 s__Escherichia marmotae",68bfa0e02cdd944a712dbee980d4419f,869
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_032601985 s__Klebsiella aerogenes",56a077fea58b814dd4ad2c1bb2332f8c,246
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_032553475 s__Enterobacter sichuanensis",6f9309b392ef121e3f514a50c2a041b7,127
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_002106555 s__Salmonella arizonae",ae1d26d0c5881e03586bf0d2496ec605,112
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_041694695 s__Enterobacter cloacae",e623ff61b36b454b4da38d4d66f99045,260
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_036634675 s__Citrobacter braakii",f7cb82d9cad31d796528dd08020f0cd6,330
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_008931465 s__Atlantibacter subterranea",641556bc46687bc34874ebdd961be35b,84
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_964207475 s__Klebsiella michiganensis",46f81fff2d91f155c35a016201e5ed59,249
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_031453865 s__Klebsiella variicola",da4840109b029029d04b0597233208d6,315
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_019856235 s__Enterobacter kobei",7f4a568e620cdfc1318413c59b6fa908,241
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_036792575 s__Enterobacter cloacae_M",4e23fae5019bec205f8056211e78327e,193
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCA_036721275 s__Enterobacter asburiae_B",72d9594f8c69d00db1e6df53a3cb3c25,179
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_039679115 s__Acinetobacter baumannii",d6109a83f5a07d21f2ea8fc584a012c5,339
,"GCA_023276905 s__Escherichia coli_E",e754bfcd6a88a7e6c3750b397705fc31,"GCF_026719375 s__Citrobacter werkmanii",3a34fb4cc0cb81622c2c71468e2e8e9c,230
