query_filename,query_name,query_md5,match_name,match_md5,intersect_bp
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,1719
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_008727395 s__Campylobacter_D coli",1eb767174c99a1a07c12ca6c8df43618,224
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_039646005 s__Campylobacter_D jejuni",6aee33ea8356a54379e54bcdcabf3aef,470
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_039519115 s__Campylobacter_D coli_A",3b113734a814d897726815c2ed760c42,71
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_024723635 s__Campylobacter_D lari_C",12f6a0e9418220f9a47be5143d927004,31
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_036233805 s__Klebsiella pneumoniae",7a328ba47cf40f94661c872e17e51ae2,50
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_014305285 s__Campylobacter_D jejuni_D",984b1cdc940a529853a29eb2ed120120,163
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_033791025 s__Campylobacter_D hepaticus",832e3cd72d2b242368f26a0e77eacb69,45
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_039518365 s__Campylobacter_D coli_B",a99af41b29b809b600e8adc5aae1ce62,63
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_032555515 s__Campylobacter_B ureolyticus",df068e85c6b61ee03268de8939f39abd,7
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_024723515 s__Campylobacter_D sp025772985",f9022ff8e2dee520bf3900b237d948b4,23
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_024621745 s__Campylobacter_D concheus",708f3ec7cf6bc072b62ac57f23fca34b,44
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_000182345 s__Vibrio parahaemolyticus",3e71c5c973c8d999050b9b4c6755947e,17
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_014931215 s__Campylobacter_D sp003627915",3158e967b170b3a933b7ce011539875f,11
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_020135895 s__Campylobacter_D taeniopygiae",d476b67ad18845573bb4b1cb467ac76a,25
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_008011665 s__Campylobacter_D volucris_A",c8b634f9d692531d945224f1e3ea971e,11
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_020136235 s__Campylobacter_D sp016598935",0c457e652dfb7381e6fb0a5b53662ad3,34
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_032594815 s__Campylobacter fetus",58ce589cf2be978fbdf3acd4f8b911f1,33
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_963557615 s__Campylobacter_D upsaliensis",a12998a969e7d8779e70f788b001512c,40
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_001814805 s__Staphylococcus epidermidis",6aae70e92e5bf7fe16f397e3d4bfefbc,4
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_039679115 s__Acinetobacter baumannii",d6109a83f5a07d21f2ea8fc584a012c5,6
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_947625325 s__Campylobacter_D cuniculorum",e996efa6e4b07c0004e49ac14fab4bba,7
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_005251755 s__Campylobacter_D subantarcticus",831a4803d5b417db1d8443cb01126496,21
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_963559825 s__Campylobacter_D helveticus",6d507db48e919d8b6c5774ddddf7e5db,33
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_020135975 s__Campylobacter_D sp020135845",d58d322c7c3d1443fd40969de0d9d05f,22
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_014217995 s__Campylobacter_D vulpis",13343d90646d7047efab52f5f556f0ee,9
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_003048905 s__Campylobacter_A concisus_V",5453b35c3d3e5af151ae261a6ac8a080,5
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_963529955 s__Campylobacter_A concisus_AR",609f4277e57755af0eb1d73c5c965eba,5
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_041877105 s__Helicobacter pylori_C",705e9ac53093ef614efc19966d24920b,4
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_040008265 s__Campylobacter_D sp004378855",019f84f3ca3e8be3da5ab8e457d0d91e,18
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_005406205 s__Campylobacter_D estrildidarum",aa093efc247420c9287e0666394eed29,17
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_020138305 s__Campylobacter_E canadensis",ba6922e9fc76269bfde39fcae6a3fa13,7
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_010120665 s__Campylobacter testudinum",950d3dbf0e0f54cf0f47a67880598721,7
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_041735045 s__Campylobacter_D bilis",07fca48d59f92b38b08d10b9dae31b90,22
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_020138295 s__Campylobacter_E sp022369455",ddbe18c93942b02616af895a8da93910,6
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_040716695 s__Escherichia coli",aee86ac6a82e843ae9c6e897660711dd,31
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_002179165 s__Campylobacter_D jejuni_B",7629f294ea06e6a30830b335038e472c,26
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_963423825 s__Campylobacter_D lari",5ac622c1487191f6855c2b3ce8bcc475,12
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_900446335 s__Campylobacter_B gracilis",77e6af34dd0ca09fae544fc30979e77d,3
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_027736965 s__Campylobacter_B sp017934385",f7740d81dee418b6d9bd863b3962080e,4
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_040932275 s__Sulfurospirillum sp001602955",2e77e3bfbfe3b407e0ed6a6db8442c01,4
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_937922065 s__Campylobacter_B ureolyticus_A",aa0d503bc6401ae7044da1ce3251e06a,6
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_937980635 s__Campylobacter_B sp937980635",530e1c2861dffd141a57150d91a4f2c5,4
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_963510515 s__Campylobacter_B ureolyticus_B",d498febd9e021f82f1e847c98ccecb2b,6
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_001643995 s__Campylobacter iguaniorum",1eb530309712b19d8b688f95d60dded5,6
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_029258705 s__Campylobacter_D insulaenigrae",cf0a46a8c8a8fe0d53e6191300f9c1c4,17
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_019623485 s__Campylobacter_D peloridis",b4620e9c0caf856e21cc7989531cc528,14
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_013201605 s__Campylobacter_D ornithocola",fab607eb4d08d33b053aec0bdc3e2704,12
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_034172285 s__Campylobacter sp945928165",6c618c1b1aaa51c39f0a33c4c59f2ee4,6
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_024723395 s__Campylobacter vicugnae",64beec82c92468dc700c4c67f6ef7a0b,7
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_037302995 s__Campylobacter infans",1850c4caa3856d5fdbdc5aad0949d48a,8
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_034090465 s__Campylobacter hyointestinalis",d6f981311ac3c2298373e4ae050e71ad,8
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_902460585 s__Campylobacter_A concisus_G",5037df30e9ad26664930b7dec993bced,5
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_002913155 s__Campylobacter_A concisus_M",8c9bc196ac1b51303ac69aad6ed340ad,5
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_937910395 s__Campylobacter_A concisus_Y",d14092aec21a5a4602b857120c118956,5
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_002165855 s__Campylobacter_A sp902387145",f6ac3edf498aeb8ec35c35ab697952bc,4
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_002317305 s__Campylobacter sp002317305",6a4232e1adc2b8642dfca2e590d0ac85,2
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_031453865 s__Klebsiella variicola",da4840109b029029d04b0597233208d6,3
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_003670295 s__Helicobacter_D burdigaliensis",99d9a14f9bb3efa8a9d9619d42ef99a8,3
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_004116495 s__Malaciobacter sp004116495",d60f73c73c7ea6cd7b7dc9d8ede7791f,2
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_024723655 s__Campylobacter_D lari_D",19e00cb9f429d70ba4b8eefd42aee96a,16
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_005406215 s__Campylobacter_D aviculae",81e91d447a56c81621b8079eeb3e8e2c,14
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_006864455 s__Campylobacter_D sp006864455",65937de90dda40e05b64d036353a088e,6
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_036033785 s__Staphylococcus aureus",9eb292afdfcdc13d9cf4dc19479bf782,6
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCA_963525495 s__Campylobacter_A concisus_AW",608cc45043920519e74f6827e43e8ce7,5
,"GCA_000163995 s__Campylobacter_D jejuni_A",130ec6fe1f53969b300de0bef736bdbc,"GCF_015229955 s__Campylobacter_A concisus_AT",da96d865a2efe4207700535ea57c0ff2,4
